name of company,salary
SPHERE INFO SOLUTIONS,"₹19,254/mo"
PALADION,"₹22,508/mo"
AON HEWITT,"₹640,162/yr"
E-EMPHASYS TECHNOLOGIES,"₹764,729/yr"
VISIBLE ALPHA SOLUTIONS,"₹1,059,001/yr"
APPSDAILY,"₹1,279,385/yr"
TATA CONSULTANCY SERVICES,"₹363,632/yr"
SMS GUPSHUP,"₹965,156/yr"
SABA SOFTWARE,"₹745,992/yr"
SHOP101,"₹1,715,653/yr"
FUTURE FOCUS INFOTECH,"₹418,636/yr"
MU SIGMA,"₹709,027/yr"
ECLINICALWORKS,"₹343,078/yr"
STRIX SYSTEMS,"₹26,928/mo"
ANONYMOUS CONTENT,"₹24,096/mo"
LOUDCLOUD,"₹770,727/yr"
EASTERN SOFTWARE SYSTEMS,"₹16,974/mo"
CREATIVE IT INDIA,"₹681,725/yr"
CYBAGE SOFTWARE,"₹597,715/yr"
VALUEFY SOLUTIONS,"₹719,244/yr"
ANMSOFT,"₹10,927/mo"
MACTORES,"₹723,218/yr"
AUTOPLANT,"₹426,995/yr"
ICICI BANK,"₹326,028/yr"
SOFTWARE RESEARCH GROUP,"₹132,597/mo"
INTELLECT DESIGN ARENA,"₹426,394/yr"
AVEKSHAA TECHNOLOGIES,"₹377,189/yr"
DXC TECHNOLOGY,"₹15,083/mo"
SKILLNET SOLUTIONS,"₹309,292/yr"
VPHRASE,"₹348,289/yr"
PRAGITI,"₹501,863/yr"
M & R CONSULTANTS CORPORATION.,"₹373,041/yr"
RANCORE TECHNOLOGIES,"₹314,713/yr"
C2L BIZ,"₹27,529/mo"
IN-SOLUTIONS GLOBAL,"₹399,489/yr"
WNS,"₹409,027/yr"
COGOPORT,"₹980,241/yr"
WEBENGAGE,"₹696,522/yr"
ONMOBILE,"₹706,665/yr"
VIRTUSA,"₹28,831/mo"
WISDMLABS,"₹470,358/yr"
ENDURANCE INTERNATIONAL GROUP,"₹1,724,538/yr"
AMDOCS,"₹771,234/yr"
XL DYNAMICS,"₹683,094/yr"
CENVEO,"₹284,479/yr"
IDBI INTECH,"₹384,639/yr"
ONETURE TECHNOLOGIES,"₹439,605/yr"
TRICOM,"₹223,565/yr"
GEOMETRIC,"₹547,689/yr"
AUM INSURANCE BROKERS,"₹237,085/yr"
ROVI,"₹1,508,497/yr"
NEXSTEP INFOTECH,"₹25,251/mo"
THIRDWARE SOLUTION,"₹443,055/yr"
SIEMENS,"₹495,501/yr"
ZENSAR TECHNOLOGIES,"₹482,579/yr"
VNNOGILE,"₹12,627/mo"
HEWLETT-PACKARD,"₹1,114,263/yr"
RAYTHEON,"₹437,076/yr"
ESFERA & ASTER SOLUTIONS,"₹264,800/yr"
LIQUIDHUB,"₹582,901/yr"
ENHANCED SOFTWARE SOLUTIONS PVT.,"₹61,624/mo"
ACCION LABS,"₹620,870/yr"
NETWORK 18,"₹55,083/mo"
NEURAL IT,"₹16,824/mo"
OCTASHOP ERETAIL SERVICES,"₹11,064/mo"
ORION SYSTEMS INTEGRATORS,"₹1,094,582/yr"
DATAMATICS GLOBAL SERVICES,"₹34,249/mo"
BILLDESK,"₹453,175/yr"
CAPITA,"₹433,293/yr"
NUCLEUS SOFTWARE EXPORTS,"₹583,729/yr"
ZENITH SYSTEM SOLUTIONS,"₹579,967/yr"
FINO,"₹386,870/yr"
INFIBEAM,"₹643,497/yr"
CYBERTECH SYSTEMS,"₹603,441/yr"
CMC,"₹180,514/yr"
YES,"₹33,802/mo"
HEPTANESIA,"₹10,433/mo"
OPPORTUNE TECHNOLOGIES,"₹30,235/mo"
ZEDO,"₹603,875/yr"
XYZ (TURKEY),"₹16,267/mo"
HURIX,"₹426,923/yr"
TRIMAX,"₹285,649/yr"
ABRIGO,"₹626,972/yr"
THE ANNET GROUP,"₹528,085/yr"
CITIUSTECH,"₹62,577/mo"
QUANTIPHI,"₹892,379/yr"
INFINITE COMPUTING SYSTEMS,"₹19,375/mo"
ALEPO USA,"₹509,819/yr"
ICLARITY IT SERVICES,"₹15,382/mo"
EXCEL SOFTWARE & SYSTEMS,"₹25,806/mo"
REBEL FOODS (FORMERLY FAASOS),"₹963,319/yr"
ADAPTY,"₹520,474/yr"
LOGIXAL SOLUTIONS,"₹682,737/yr"
MIRRAW,"₹30,914/mo"
ZENITH INFOTECH,"₹621,632/yr"
TIS INTERNATIONAL,"₹372,586/yr"
MAJESCOMASTEK,"₹522,472/yr"
CMS IT SERVICES,"₹439,440/yr"
HARJAI COMPUTERS,"₹26,056/mo"
TATA,"₹444,286/yr"
NIRMAL BANG,"₹332,915/yr"
EXA,"₹532,804/yr"
AMBAB INFOTECH,"₹339,316/yr"
V K VENTURE,"₹66,296/mo"
NAAPTOL,"₹14,115/mo"
CROMPTON GREAVES,"₹95,866/yr"
ANUPAM MITTAL,"₹590,384/yr"
TICKERPLANT,"₹35,287/mo"
NVIDIA,"₹249,593/mo"
NEWGEN,"₹22,327/mo"
MOOFWD,"₹32,935/mo"
SARJAK CONTAINER LINES,"₹440,538/yr"
GE OIL & GAS,"₹1,326,678/yr"
SOFTLINK GLOBAL,"₹548,214/yr"
SCANIA,"₹43,857/mo"
I2 TECHNOLOGIES,"₹758,876/yr"
PEOPLE PRIME WORLDWIDE,"₹1,123,170/yr"
WERA FOOD TECHNOLOGY,"₹554,151/yr"
KONVERGE TECHNOLOGIES,"₹331,295/yr"
FACEBOOK,"₹43,857/mo"
SAMCOM TECHNOBRAINS,"₹53,484/mo"
LAHEY HEALTH BEHAVIORAL SERVICES,"₹813,245/yr"
ANTFARM (INDIA),"₹110,432/yr"
SELEC,"₹11,083/mo"
NET CONNECT,"₹224,634/yr"
TATA INSTITUTE OF SOCIAL SCIENCES,"₹385,087/yr"
CIRRIUS,"₹421,993/yr"
ITD CEMENTATION INDIA,"₹300,000/yr"
JUST COMPILE,"₹15,000/mo"
91STREETS MEDIA TECHNOLOGIES,"₹1,925,435/yr"
ICONNECT (VIRGINIA),"₹230,827/yr"
INSPEERO TECHNOLOGIES,"₹226,210/yr"
DONGRE TECHNOQUIP,"₹28,712/mo"
DONGSEO UNIVERSITY,"₹352,873/yr"
BSMART TECHNOLOGY,"₹631,687/yr"
HEADY,"₹28,703/mo"
TRIUMPHSYS,"₹33,225/mo"
NOMURA HOLDINGS,"₹1,055,820/yr"
ATCS,"₹17,179/mo"
WALT DISNEY COMPANY,"₹35,019/mo"
CERNER,"₹700,000/yr"
VULCAN INFOTECH,"₹13,798/mo"
ASHISH THAKUR,"₹443,321/yr"
ADFACTORS PR,"₹443,093/yr"
VERIZON,"₹41,169/mo"
KALPAVRUKSH SYSTEMS,"₹40,395/mo"
CRMNEXT,"₹554,151/yr"
ORIENT TECHNOLOGIES,"₹26,282/mo"
SECTECH,"₹34,238/mo"
LOGWIN,"₹203,311/yr"
DESS TECHNOLOGIES,"₹118,801/yr"
CRYSTALITE TECHNOLOGIES,"₹23,676/mo"
INTELLECAP,"₹531,346/yr"
PROSARES SOLUTIONS,"₹493,393/yr"
ACTIV EIGHT DIMENSIONS,"₹24,701/mo"
BITSTREET TECHNOLOGIES,"₹349,010/yr"
SANVIK COMPUTER CONSULTANTS,"₹55,818/mo"
EM,"₹27,608/mo"
PIPELINE SOFTWARE,"₹140,035/yr"
