name of company,college name,region,year
ZEUS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
ADITYA BIRLA,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
CAPGEMINI,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
CMCLIMITED,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
EMCO,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
GG,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
GODREJ,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
INFOSYS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
HEXAWARE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
KPIT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
LANDT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
NIELSEN,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
ORACLE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
ORANGE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
PERSISTENT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
PUNJLLOYD,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
QUINNOX,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
RELIANCE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
SYNTEL,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
TESTFUNDS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
ACCENTURE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
CAPGEMINI,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
ESSENTIAL,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
GREAVES,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
INFRASOFTTECH,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
LALIT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
MAHINDRA,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
MASTEK,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
NSEIT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
PATNI,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
QUALITYKIOSK,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
STERLING,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
TCS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
VISTAAR,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
AAKASH INSTITUTE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ACCENTURE SERVICES PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ACCIONLABS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ACCOLITE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
AGR KNOWLEDGE SERVICES PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
AHDITYAA ENTERPRISES,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
AKER SOLUTIONS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ALL CARGO LOGISTICS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
AMDOCS DEVELOPMENT CENTRE INDIA PVT.LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ARISTON CAPITAL SERVICES PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ARMACO CHEMICAL PROCESS SYSTEMS PVT. LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ATIDAN TECHNOLOGIES PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ATOS INDIA PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
AVALON GLOBAL RESEARCH,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BANK OF AMERICA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BARCLAYS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BHARTI AIRTEL LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BLUE STAR LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BOOKMYSHOW,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BOSCH LTD,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BUILD TRACK,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
CAPEGEMINI INDIA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
CARTESIAN CONSULTING,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
CEX WEBUY ENTERTAINMENT PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
CIMPRESS INDIA PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
COFFEE DAY BEVERAGES,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
COLGATE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
COMPUTER SCIENCES CORPORATION PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
CYBERMARINE KNOWLEDGE SYSTEMS PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
DAIKIN AIR CONDITIONING,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
DIEBOLD SYSTEMS PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
DIRECTI,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
DOLAT CAPITAL,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
DOLPHIN RFID PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
DUMBELLED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
DYNALOG ENTERPRISES,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
EDUISFUN,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ELEATION,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
EMERSON NETWORK POWER,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ENDURANCE INTERNATIONAL GROUP,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ERNST & YOUNG,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
EXPRESS GLOBAL LOGISTICS PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
EXPRESS ROADWAYS PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
FIRST QUADRANT SOLUTIONS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
FORCE MOTORS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
FRACTAL ANALYTICS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
FRICTION INNOVATIVE EDUCATION,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
FUTURE GENERALI INDIA LIFE INSURANCE COMPANY LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
GEP,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
GERMIN8,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
GODREJ & BOYCE MFG.CO.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
GREENITY SOFTWARE SOLUTIONS PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
GRINDWELL NORTON LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
GUPSHUP TECHNOLOGY INDIA PVT. LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
GVK MUMBAI INTERNATIONAL AIRPORT PVT. LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
GVR INDIA PVT.LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
HALFTICK INFOSERVICES PVT. LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
HANSA CEQUITY,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
HOURGLASS RESEARCH,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ICICI PRU LIFE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ICREATE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
IFB INDUSTRIES LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
IMAGINARIUM INDIA PVT.LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
INDUS MOMENTUS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
INDUS VALLEY PARTNERS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
INDUSGEEKS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
INFOSYS LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
INSCRIPTS INDIA PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
INTERACTIVE BROKERS INDIA PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
JACOBS ENGINEERING INDIA PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
JARO EDUCATION,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
JP MORGAN CHASE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
JSW STEEL COATED PRODUCTS LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
KALYANI FORGE LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
KANSAI NEROLAC  PAINTS LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
KONGO EDUCATIONAL SERVICES PVT LTD,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
KONNECTINSIGHTS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
L & T INFOTECH LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
L & T LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
L & T TECHNOLOGY SERVICES LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
MAHINDRA & MAHINDRA LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
MAJESCO,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
MASTEK LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
MEDIANET,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
MEGACHIP INSTRUMENTATION PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
MICROSOFT,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
MITR LEARNING,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
MORGAN STANLEY CAPITAL INTERNATIONAL,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
MU SIGMA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
NEEBAL TECHNOLOGIES PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
NEOSOFT TECHNOLOGIES,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
NEROLAC PAINTS LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
NETMAGIC  SOLUTIONS  PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
NEWGEN SOFTWARE TECHNOLOGIES LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
NIKHIL COMFORT,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
NSEIT,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
NUCSOFT LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ORACLE INDIA PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
PERFORMICS.CONVONIX,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
PHARMEASY,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
PRATAP PLASTICS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
PURPLLE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
RAVE TECHNOLOGIES PVT. LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
RELIANCE INDUSTRIES LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
RELIANCE JIO INFOCOMM LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
RESEARCH WIRE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
RESHAMSINGH & CO. PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
RIDDHIM SIDDHIM STEEL (I) PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ROOPTELSONIC ULTRASONIX LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
SAINT GOBAIN INDIA LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
SANMAR ENGINEERING TECHNOLOGIES LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
SECLORE TECHNOLOGY PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
STELLAR VALUE CHAIN,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
SWAN ENVIRONMENTAL PVT. LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
TATA COMMUNICATIONS LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
TATA CONSULTANCY  SERVICES LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
TECHNIP INDIA LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
TECNIMONT PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
TERADATA CORPORATION,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
THINK & LEARN - BYJU’S,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
THINK ANALYTICS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
THYSSENKRUPP INDUSTRIAL SOLUTIONS INDIA PVT.LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
TOYO ENGINEERING,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
TRANZACT PVT LTD,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
UHDE INDIA PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
VISION MECHATRONICS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
VODAFONE SHARED SERVICES INDIA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
VOLTAS LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
VPHRASE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
WELSPUN SYNTEX LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
WISDMLABS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
WISSEN TECHNOLOGY,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
YODLEE INFOTECH PVT. LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ZS ASSOCIATES,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ZYCUS INFOTECH PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
CAVINKARE,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
   NSDL ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 SCHNEIDER,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
INFOSYS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
FINTELLIX ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  NETMAGIC SOLUTIONS,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  UGAM SOLUTIONS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  CYBERMARINE ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  CMSS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 TCS,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 MAHANAGAR GAS LTD. ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  NSDL ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  FRACTAL ANALYTICS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 JUST DIAL ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 RELIANCE JIO ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 TECHNIMONT ICB ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 MU SIGMA ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 NUCSOFT ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 VISTEX TECHNOLOGIES ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 SANMAR TECHNOLOGIES ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 FINAUX TECH. ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 ZYCUS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 MITSUBISHI ELEVATORS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 LOGIXAL ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 ALTIUSSOFT SOLUTIONS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
    QUBE CINEMAK,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  TECH NRB BEARINGS,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  E-EMPHASIS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  TECHINT HYPERTHERM ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  TCRC GROUP,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  ALPHA PLUS TECHNOLOGIES ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  NATIONAL STOCK EXCHANGE IT ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 PERSISTENT TECH ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  PARAMATRIX SOLUTIONS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  IBM TECHNOLOGIES ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  SANMAR TECHNOLOGIES ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  INDIAN ARMY ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  ENDURANCE INTERNATIONAL ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  QUANTIPHI ANALYTICS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  BITWISE ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  L & T LTD. ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  MERILENT ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  THE OBEROI GROUP ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  VISTAAR TECHNOLOGIES ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  ZEUS LEARNING ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  ELGI ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  QUINNOX TECH. ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  MIRRAW ONLINE SERVICES PVT. LTD. ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  AMAZON ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  QAD INFO. TECH. ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
   BRISTLE CONE I LTD.,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  VDART SOFTWARE,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  SYNTEL LTD. ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  L &T INFO TECH ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  INDIAN NAVY ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  NETCORE SOLUTIONS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  CAPGEMINI ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  INDIAIDEAS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 MAJESCO SOFTWARE SOLUTIONS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  INTERACTCRM ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  CEXWEBUY ENTERTAINMENT ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  THINK & LEARN ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  PRODIO DESIGN WORKS ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
  SECLORE TECHNOLOGIES ,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 J-ROBOTICS,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 DELTECS INFO. TECH,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 BURNS & MCDONNELLS,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 TCRC GROUP,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 RAVE TECH.,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 ESCAN ANTIVIRUS,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 CEX WEBUY ENTERTAINMENT,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 ANTIMU,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 MEDIA .NET,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
 MILESTONE SOFTWARE SOLUTIONS,MANJARA CHARITABLE TRUSTS RAJIV GANDHI INSTITUTE OF TECHNOLOGY,MUMBAI,2018
